Quote ID,Created At,Approved At,Status,Total,Customer Name,Customer Email,Customer Phone,Job Type
Q-1026,2024-01-14 00:27:00,2024-01-21 00:27:00,Approved,950.47,Patricia Jones,patricia.jones@example.com,363-427-3636,Furnace Repair
Q-1027,2024-01-15 00:23:00,,Sent,75.21,Maria Anderson,maria.anderson@example.com,902-744-4143,Maintenance Service
Q-1028,2024-01-14 21:52:00,,Sent,267.21,Mary Davis,mary.davis@example.com,342-767-7297,Furnace Repair
Q-1029,2024-01-16 00:13:00,2024-01-16 00:13:00,Approved,7521.67,Linda Wilson,linda.wilson@example.com,495-207-7636,System Installation
Q-1030,2024-01-15 16:56:00,2024-01-22 16:56:00,Approved,782.25,Susan Williams,susan.williams@example.com,585-689-9096,Furnace Repair
Q-1031,2024-01-16 17:07:00,2024-01-25 17:07:00,Approved,1475.63,William Rodriguez,william.rodriguez@example.com,450-828-9142,AC Repair
Q-1032,2024-01-16 21:47:00,2024-01-20 21:47:00,Approved,4171.38,William Hernandez,william.hernandez@example.com,461-596-6497,System Installation
Q-1033,2024-01-17 21:39:00,2024-01-19 21:39:00,Approved,613.15,Susan Williams,susan.williams@example.com,585-689-9096,AC Repair
Q-1034,2024-01-17 19:43:00,2024-01-24 19:43:00,Approved,270.42,Richard Thomas,richard.thomas@example.com,591-347-1427,Furnace Repair
Q-1035,2024-01-18 17:29:00,,Sent,423.11,Maria Anderson,maria.anderson@example.com,902-744-4143,AC Repair
Q-1036,2024-01-19 00:44:00,2024-01-19 00:44:00,Approved,1018.56,Robert Lopez,robert.lopez@example.com,233-662-2869,Furnace Repair
Q-1037,2024-01-18 18:46:00,,Sent,547.81,Mary Davis,mary.davis@example.com,342-767-7297,Furnace Repair
Q-1038,2024-01-19 19:24:00,2024-01-24 19:24:00,Approved,13075.43,Linda Lopez,linda.lopez@example.com,756-995-9011,System Installation
Q-1039,2024-01-19 22:10:00,2024-01-20 22:10:00,Approved,3716.73,Patricia Thomas,patricia.thomas@example.com,600-749-6495,System Installation
Q-1040,2024-01-20 23:47:00,2024-01-26 23:47:00,Approved,7187.32,Susan Williams,susan.williams@example.com,585-689-9096,System Installation
Q-1041,2024-01-20 20:02:00,2024-01-30 20:02:00,Approved,100.37,Richard Thomas,richard.thomas@example.com,591-347-1427,Maintenance Service
Q-1042,2024-01-21 16:34:00,2024-01-26 16:34:00,Approved,6007.77,Richard Lopez,richard.lopez@example.com,765-316-3457,System Installation
Q-1043,2024-01-21 15:29:00,2024-01-27 15:29:00,Approved,747.47,John Davis,john.davis@example.com,225-413-1556,Furnace Repair
Q-1044,2024-01-21 22:57:00,2024-01-31 22:57:00,Approved,582.55,Robert Wilson,robert.wilson@example.com,874-590-8281,Furnace Repair
Q-1045,2024-01-23 00:48:00,,Sent,156.54,Richard Lopez,richard.lopez@example.com,765-316-3457,Maintenance Service
Q-1046,2024-01-22 18:12:00,,Sent,410.46,Maria Anderson,maria.anderson@example.com,902-744-4143,Furnace Repair
Q-1047,2024-01-23 16:56:00,,Sent,165.85,Barbara Miller,barbara.miller@example.com,551-323-8808,Furnace Repair
Q-1048,2024-01-24 20:53:00,,Sent,234.03,Robert Lopez,robert.lopez@example.com,233-662-2869,Furnace Repair
Q-1049,2024-01-24 17:24:00,2024-01-27 17:24:00,Approved,7112.94,William Rodriguez,william.rodriguez@example.com,874-794-1481,System Installation
Q-1050,2024-01-24 15:02:00,2024-01-26 15:02:00,Approved,9600.61,Robert Wilson,robert.wilson@example.com,874-590-8281,System Installation
Q-1051,2024-01-25 18:13:00,2024-01-26 18:13:00,Approved,644.09,Robert Wilson,robert.wilson@example.com,874-590-8281,Furnace Repair
Q-1052,2024-01-25 17:55:00,2024-02-03 17:55:00,Approved,5767.82,Mary Williams,mary.williams@example.com,993-852-6684,System Installation
Q-1053,2024-01-26 23:39:00,2024-01-27 23:39:00,Approved,78.89,Mary Hernandez,mary.hernandez@example.com,270-954-4880,Maintenance Service
Q-1054,2024-01-27 16:07:00,,Sent,128.42,Barbara Miller,barbara.miller@example.com,551-323-8808,Maintenance Service
Q-1055,2024-01-27 23:18:00,2024-02-05 23:18:00,Approved,321.05,Patricia Miller,patricia.miller@example.com,365-703-8981,Furnace Repair
Q-1056,2024-01-27 23:18:00,2024-01-28 23:18:00,Approved,906.08,Mary Taylor,mary.taylor@example.com,662-469-6366,Furnace Repair
Q-1057,2024-01-28 15:44:00,,Sent,290.23,John Davis,john.davis@example.com,225-413-1556,Furnace Repair
Q-1058,2024-01-29 16:04:00,2024-01-31 16:04:00,Approved,516.83,John Davis,john.davis@example.com,225-413-1556,Duct Cleaning
Q-1059,2024-01-29 19:24:00,2024-02-06 19:24:00,Approved,13664.38,Richard Lopez,richard.lopez@example.com,765-316-3457,System Installation
Q-1060,2023-08-31 00:00:00,2023-09-05 00:00:00,Approved,302.07,William Rodriguez,william.rodriguez@example.com,450-828-9142,Furnace Repair
Q-1061,2023-07-26 00:00:00,2023-07-31 00:00:00,Approved,204.71,Mary Davis,mary.davis@example.com,342-767-7297,AC Repair
Q-1062,2023-08-17 00:00:00,2023-08-20 00:00:00,Approved,153.25,Maria Hernandez,maria.hernandez@example.com,699-892-5250,Maintenance Service
Q-1063,2023-08-05 00:00:00,2023-08-08 00:00:00,Approved,335.86,Robert Lopez,robert.lopez@example.com,233-662-2869,Duct Cleaning
Q-1064,2023-08-17 00:00:00,2023-08-20 00:00:00,Approved,128.54,Richard Lopez,richard.lopez@example.com,765-316-3457,Maintenance Service
Q-1065,2023-09-18 00:00:00,2023-09-20 00:00:00,Approved,690.93,Mary Williams,mary.williams@example.com,993-852-6684,Duct Cleaning
Q-1066,2023-09-17 00:00:00,2023-09-20 00:00:00,Approved,3741.95,Robert Lopez,robert.lopez@example.com,233-662-2869,System Installation
Q-1067,2023-09-19 00:00:00,2023-09-22 00:00:00,Approved,560.50,Richard Lopez,richard.lopez@example.com,765-316-3457,Duct Cleaning
Q-1068,2023-08-23 00:00:00,2023-08-28 00:00:00,Approved,221.35,Susan Williams,susan.williams@example.com,585-689-9096,Furnace Repair
Q-1069,2023-09-20 00:00:00,2023-09-23 00:00:00,Approved,246.33,Patricia Miller,patricia.miller@example.com,365-703-8981,AC Repair
